YEAR,SEASON,GHID,REP,PLOTNO,FL,MAT,PLTHGT,TILLER,LDG,Plot_Yld,Kg_ha
2012,1,M1360,2,12060,81,111,102,14,0,3894,6565
2012,1,M1361,1,9040,82,112,105,12,0,3286,5572
2012,1,M1361,2,10030,78,108,103,14,0,3225,5519
2012,1,B1209,1,7013,87,117,100,15,5,3022,5142
2012,1,B1209,2,8111,89,119,98,13,0,3010,5093
2012,1,B1210,1,5003,88,118,108,20,0,2961,5027
2012,1,B1210,2,6075,87,117,103,12,0,2813,4836
2012,1,B1103,1,5057,78,108,98,16,0,2600,4474
2012,1,B1103,2,6056,76,106,107,13,0,3222,5520
2012,1,B1153,1,7005,86,116,120,13,0,2732,4627
2012,1,B1153,2,8016,87,117,105,11,0,2931,5067
2012,1,B1005,1,5079,80,110,98,18,0,3342,5725
2012,1,B1005,2,6003,82,112,89,17,0,3309,5707
2012,1,B1104,1,5018,80,110,114,12,0,3659,6396
2012,1,B1104,2,6029,78,108,100,10,0,3386,5775
2012,1,B1105,1,5034,80,110,103,11,0,3166,5461
2012,1,B1105,2,6053,80,110,103,14,0,3284,5658
2012,1,B1055,1,7084,83,113,105,21,0,3150,5378
2012,1,B1055,2,8100,82,112,102,13,0,2955,5040
2012,1,B1106,1,7097,79,109,95,13,0,3330,5686
2012,1,B1106,2,8123,82,112,93,12,0,2990,5117
2012,1,B1006,1,5036,78,108,89,14,0,3335,5707
2012,1,B1006,2,6002,77,107,98,22,0,3218,5550
2012,1,B1107,1,7002,86,116,115,13,0,2749,4619
2012,1,B1107,2,8113,85,115,101,9,0,3176,5380
2012,1,B1211,1,7115,85,115,107,16,0,2307,3957
2012,1,B1211,2,8133,88,118,110,12,0,2349,4011
2012,1,A1264,1,1066,74,104,103,13,0,3048,5310
2012,1,A1264,2,2030,79,109,88,25,0,3208,5546
2012,1,A1265,1,3056,83,113,96,13,0,3178,5420
2012,1,A1265,2,4036,83,113,107,14,0,2459,4175
2012,1,A1316,1,1050,81,111,107,14,0,3283,5707
2012,1,A1316,2,2071,81,111,108,19,0,3380,5712
2012,1,A1269,1,3041,82,112,103,16,0,3293,5724
2012,1,A1269,2,4071,82,112,108,16,0,2963,5053
2012,1,A1273,1,1059,79,109,105,12,0,2776,4648
2012,1,A1273,2,2067,81,111,110,14,0,3415,5844
2012,1,A1274,1,1043,77,107,86,15,0,4217,7167
2012,1,A1274,2,2042,77,107,98,18,0,3800,6540
2012,1,A1275,1,1012,81,111,95,21,0,2866,4938
2012,1,A1275,2,2038,80,110,99,19,0,3207,5395
2012,1,A1276,1,1026,80,110,98,16,0,3138,5394
2012,1,A1276,2,2059,79,109,112,11,5,3218,5419
2012,1,A1279,1,1052,86,116,99,22,0,2265,3788
2012,1,A1279,2,2001,86,116,93,15,0,2430,4069
2012,1,M1367,1,11057,82,112,95,11,0,2400,4153
2012,1,M1367,2,12039,81,111,105,15,0,2843,4838
2012,1,B1155,1,7109,82,112,109,12,0,2572,4426
2012,1,B1155,2,8072,84,114,100,10,0,2665,4529
2012,1,B1057,1,5016,78,108,105,11,0,3088,5272
2012,1,B1057,2,6015,78,108,110,14,0,2901,4925
2012,1,B1157,1,7114,83,113,110,12,0,2446,4143
2012,1,B1157,2,8106,86,116,113,11,0,2838,4823
2012,1,B1011,1,7167,91,121,121,16,0,2911,4886
2012,1,B1011,2,8052,94,124,112,9,0,2871,4885
2012,1,A1267,1,1036,78,108,105,16,0,3315,5647
2012,1,A1267,2,2014,77,107,105,11,0,3785,6499
2012,1,A1272,1,1068,75,105,111,13,0,3284,5658
2012,1,A1272,2,2051,77,107,97,10,0,3039,5124
2012,1,A1270,1,3038,82,112,105,16,0,3214,5544
2012,1,A1270,2,4035,83,113,109,18,0,2956,5099
2012,1,A1277,1,1031,82,112,103,16,0,3555,6139
2012,1,A1277,2,2060,81,111,119,19,0,3484,5989
2012,1,A1321,1,3001,94,124,104,17,0,3209,5510
2012,1,A1321,2,4054,87,117,109,21,0,2902,4904
2012,1,A1317,1,3035,89,119,110,20,0,3103,5328
2012,1,A1317,2,4044,86,116,114,26,0,2748,4740
2012,1,A1318,1,3015,85,115,115,15,0,3200,5513
2012,1,A1318,2,4038,85,115,115,15,0,3206,5480
2012,1,A1319,1,3096,86,116,117,14,0,3095,5182
2012,1,A1319,2,4057,84,114,127,14,0,2813,4688
2012,1,A1320,1,3091,94,124,115,11,0,2751,4676
2012,1,A1320,2,4046,94,124,120,19,0,2466,4129
2012,1,A1268,1,1063,78,108,102,15,0,3152,5345
2012,1,A1268,2,2065,81,111,113,13,0,3448,5920
2012,1,M1362,1,11028,82,112,100,16,0,3196,5685
2012,1,M1362,2,12015,83,113,94,14,0,2509,4323
2012,1,M1363,1,11019,88,118,112,13,0,3413,5754
2012,1,M1363,2,12040,86,116,103,12,0,2958,4987
2012,1,M1347,1,11035,84,114,110,16,0,2195,3765
2012,1,M1347,2,12001,84,114,102,16,0,2678,4588
2012,1,M1364,1,9030,78,108,87,14,0,2845,4968
2012,1,M1364,2,10043,78,108,83,13,0,2915,4988
2012,1,M1365,1,9059,78,108,88,14,0,2950,5088
2012,1,M1365,2,10039,78,108,97,16,0,2765,4705
2012,1,M1368,1,9003,78,108,93,13,0,2962,5040
2012,1,M1368,2,10045,77,107,93,24,0,3541,6080
2012,1,M1366,1,11048,85,115,108,13,0,2904,4964
2012,1,M1366,2,12047,86,116,111,14,0,3227,5541
2012,1,B1216,1,7146,83,113,106,11,0,2415,4072
2012,1,B1216,2,8129,85,115,110,10,3,2205,3739
2012,1,B1007,1,5066,76,106,100,19,0,3149,5413
2012,1,B1007,2,6011,76,106,114,11,0,2995,5090
2012,1,B1008,1,5097,78,108,77,12,0,2750,4711
2012,1,B1008,2,6098,78,108,84,10,0,2718,4651
2012,1,B1009,1,5013,77,107,99,14,0,2948,5068
2012,1,B1009,2,6087,79,109,99,19,0,2892,5055
2012,1,B1158,1,7033,86,116,118,16,0,2503,4254
2012,1,B1158,2,8005,85,115,105,20,0,2733,4645
2012,1,B1159,1,7028,89,119,111,17,0,2534,4282
2012,1,B1159,2,8015,87,117,100,14,0,2751,4692
2012,1,B1160,1,5082,77,107,98,11,0,2932,5063
2012,1,B1160,2,6045,78,108,99,17,5,3324,5785
2012,1,B1110,1,7103,84,114,115,16,0,3345,5698
2012,1,B1110,2,8139,85,115,112,14,7,3093,5203
