Entry,0,1,2,3,4,5,6,7,8
A1254,-1.90746351013,-6.11297641062,5.05260635311,-10.8693127752,-15.4228152851,2.30982197606,1.5493874841,-2.32951505256,3.27018068809
A1257,4.49750219892,5.56280341945,2.53352491633,-6.7562140255,5.49211694116,-2.7787764908,3.01835412537,-7.38622043333,-2.60081234147
A1258,4.23498192502,-2.27805294076,-12.4078563239,-14.1828163831,7.90489355372,0.626442271611,0.833245309845,-5.66636742678,-12.9161897899
A1259,6.24290068352,25.3790518246,-10.3005482606,-9.28662513946,-5.2785281007,0.0774061588059,6.6965696583,-3.6590852751,1.23865222034
A1260,-21.8470494404,-11.0174004585,-15.0004899676,4.86249554444,1.59740079107,-7.25257670609,3.25780033094,7.55168925291,0.311086857046
A1261,-8.63871917354,-4.1583390798,2.43580132542,-2.06537619228,-1.75534519269,15.6692888153,10.8356011149,2.0702804554,2.36424281821
A1262,1.93400187039,-0.704403200512,4.38392776414,17.4381222611,8.58642543022,4.32134663573,-4.92319259227,-2.53541199279,6.21283005175
A1263,-0.368447491661,0.00113893015689,-4.40716600537,5.67943535323,-9.24273443932,-6.42529964255,-10.0436031523,3.82292468704,-1.38000964368
A1264,-1.64608306841,14.957779683,-9.58116186837,-3.14160034466,2.89958291031,5.79980193481,8.95690241,-2.76634452279,-4.86815342315
A1265,-14.758944078,1.66079177658,-7.28015003172,9.49607690568,7.358805368,-7.13064577553,10.785241863,-3.05327784425,6.742005827
A1266,9.51186720757,10.404344434,6.23781371813,-7.51847694538,-2.90606270232,0.256128612423,3.02261836555,-7.3069801833,3.34743644442
A1267,-6.2384207761,-0.794054457506,-9.92139979468,0.173384334755,-12.620221782,-2.49992386481,-1.01835726421,4.33238645458,5.96208427461
A1268,-12.7045330776,1.39268372663,-13.285843239,-4.01004317501,-0.870784590459,-3.54302143548,3.59720579943,-3.00551291201,-2.29636186292
A1269,-15.361518437,-4.66714156325,-13.8151475705,-7.03133630535,-7.53406853646,3.84595790845,9.27103619813,-0.633713662634,-0.662067335809
A1270,-13.4754225627,6.41527793089,-10.5631837741,-1.88104430302,-2.42359155082,12.6889878059,14.1017256576,3.61553366063,1.97404428115
A1271,-1.74913463631,17.009455306,-12.2685209484,-1.26439147702,5.84297998195,8.5441543588,6.59886343841,3.58771934195,-1.28393777864
A1272,9.80065536159,10.1796290981,-14.1283090611,-9.78052893413,-0.0691171329977,-8.0899159703,1.22123276942,-6.62186844799,-6.84662624646
