GHID,YEAR,SEASON,REP,PLOTNO,FL,MAT,PLTHGT,TILLER,LDG,Plot_Yld,Kg_ha
B1122,2012,2,1,935,94,124,120,13,0,2662,4493
B1122,2012,2,2,953,94,124,114,14,0,3180,5343
B1122,2012,2,3,1050,95,125,124,20,0,2835,4868
B1163,2012,2,1,1397,93,123,130,9,0,2761,4693
B1163,2012,2,2,1416,93,123,127,10,0,2625,4528
B1163,2012,2,3,1465,93,123,127,10,0,2641,4427
B1036,2012,2,1,323,88,118,127,10,0,2958,4964
B1036,2012,2,2,393,93,123,132,17,0,2907,5065
B1036,2012,2,3,442,91,121,127,8,0,2541,4363
M1372,2012,2,1,1220,94,124,143,11,0,2704,4742
M1372,2012,2,2,1260,94,124,134,10,0,2311,3995
M1372,2012,2,3,1317,96,126,151,17,0,2437,4246
B1080,2012,2,1,627,95,125,124,15,0,2880,4956
B1080,2012,2,2,696,95,125,120,10,0,2658,4538
B1080,2012,2,3,749,100,130,117,11,0,2436,4088
B1223,2012,2,1,1250,94,124,126,11,0,3474,5790
B1223,2012,2,2,1261,95,125,136,10,7,2922,5102
B1223,2012,2,3,1328,94,124,142,15,9,2289,3944
B1063,2012,2,1,15,87,117,96,11,0,1692,2922
B1063,2012,2,2,77,93,123,98,18,0,1678,2897
B1063,2012,2,3,140,86,116,99,14,0,1809,3026
M1370,2012,2,1,324,94,124,132,19,0,2617,4494
M1370,2012,2,2,400,96,126,143,15,7,1906,3225
M1370,2012,2,3,404,95,125,140,10,0,1781,2999
B1166,2012,2,1,1364,100,130,127,11,0,3349,5822
B1166,2012,2,2,1402,98,128,112,12,0,2323,3998
B1166,2012,2,3,1487,101,131,125,15,0,3311,5660
B1082,2012,2,1,1387,104,134,128,12,0,2534,4371
B1082,2012,2,2,1414,103,133,117,18,0,2800,4922
B1082,2012,2,3,1456,103,133,117,11,0,2826,4940
B1235,2012,2,1,1073,92,122,126,16,0,3447,5939
B1235,2012,2,2,1118,91,121,121,8,0,2971,5130
B1235,2012,2,3,1178,93,123,125,12,0,3223,5515
B1231,2012,2,1,1201,96,126,114,15,0,2371,4057
B1231,2012,2,2,1251,96,126,120,14,0,3165,5410
B1231,2012,2,3,1346,95,125,122,11,0,2576,4413
B1230,2012,2,1,1380,103,133,125,10,0,3030,5085
B1230,2012,2,2,1429,100,130,108,11,0,2929,5092
B1230,2012,2,3,1451,102,132,110,9,0,3304,5712
B1229,2012,2,1,1051,101,131,117,13,0,2941,4999
B1229,2012,2,2,1110,93,123,126,12,0,2457,4124
B1229,2012,2,3,1188,95,125,133,14,0,2038,3432
B1228,2012,2,1,1351,94,124,115,15,0,2774,4725
B1228,2012,2,2,1444,95,125,101,8,0,2964,5038
B1228,2012,2,3,1474,95,125,117,8,0,3383,5638
B1225,2012,2,1,1377,108,138,122,9,0,3206,5648
B1225,2012,2,2,1411,101,131,109,13,0,2985,5027
B1225,2012,2,3,1461,101,131,114,9,0,2754,4846
B1164,2012,2,1,1359,102,132,127,9,0,2068,3527
B1164,2012,2,2,1415,105,135,117,12,0,2081,3573
B1164,2012,2,3,1496,106,136,123,11,0,1739,2969
B1083,2012,2,1,200,89,119,124,14,0,3422,5730
B1083,2012,2,2,223,87,117,118,18,0,2785,4658
B1083,2012,2,3,279,90,120,126,19,0,2887,4963
B1018,2012,2,1,24,86,116,112,13,0,2553,4275
B1018,2012,2,2,87,87,117,113,15,0,2874,4807
B1018,2012,2,3,150,89,119,121,14,0,2829,4770
B1017,2012,2,1,152,86,116,107,18,0,2688,4553
B1017,2012,2,2,239,86,116,100,12,0,2519,4320
B1017,2012,2,3,269,86,116,107,14,0,2722,4647
B1065,2012,2,1,319,80,110,96,16,0,2495,4260
B1065,2012,2,2,366,92,122,98,17,0,2523,4278
B1065,2012,2,3,409,83,113,97,14,0,1890,3267
B1016,2012,2,1,1091,98,128,132,18,0,2832,4857
B1016,2012,2,2,1128,97,127,126,11,0,2934,5026
B1016,2012,2,3,1186,95,125,127,11,0,2533,4290
B1039,2012,2,1,338,90,120,115,19,0,2535,4343
B1039,2012,2,2,354,91,121,127,13,0,2826,4836
B1039,2012,2,3,434,90,120,113,15,0,2656,4617
B1038,2012,2,1,35,86,116,119,17,0,3011,5118
B1038,2012,2,2,57,86,116,115,15,0,2813,4705
B1038,2012,2,3,144,86,116,125,12,0,2733,4571
M1371,2012,2,1,188,88,118,112,15,0,2236,3813
M1371,2012,2,2,231,90,120,117,15,0,2376,4117
M1371,2012,2,3,297,88,118,111,17,0,2844,4883
B1090,2012,2,1,345,93,123,135,14,0,2375,3968
B1090,2012,2,2,376,93,123,135,12,0,2761,4666
B1090,2012,2,3,444,90,120,127,10,0,2592,4320
B1033,2012,2,1,310,89,119,127,14,0,2415,4133
B1033,2012,2,2,368,90,120,127,22,5,2879,4854
B1033,2012,2,3,423,93,123,127,10,0,2897,4957
B1234,2012,2,1,1225,95,125,139,14,0,3658,6153
B1234,2012,2,2,1270,95,125,128,13,0,2722,4684
B1234,2012,2,3,1350,94,124,130,14,0,2982,5155
B1233,2012,2,1,1232,94,124,113,10,0,2435,4148
B1233,2012,2,2,1263,95,125,105,12,0,2453,4183
B1233,2012,2,3,1340,94,124,107,10,0,2076,3553
B1232,2012,2,1,1379,103,133,117,13,0,3061,5345
B1232,2012,2,2,1430,101,131,113,18,0,3134,5284
B1232,2012,2,3,1486,101,131,119,15,0,3832,6461
B1086,2012,2,1,1080,93,123,129,14,0,2961,5113
B1086,2012,2,2,1114,92,122,134,9,0,2762,4662
B1086,2012,2,3,1176,92,122,126,12,0,2924,4992
M1383,2012,2,1,330,89,119,108,11,0,2619,4416
M1383,2012,2,2,369,93,123,112,21,5,2286,3837
M1383,2012,2,3,401,96,126,112,13,0,2422,4187
B1014,2012,2,1,308,87,117,119,13,0,2694,4668
B1014,2012,2,2,397,96,126,121,12,0,2885,4825
B1014,2012,2,3,430,92,122,128,10,0,3177,5510
B1064,2012,2,1,460,84,114,117,20,0,2085,3564
B1064,2012,2,2,528,85,115,100,13,0,2288,3836
B1064,2012,2,3,580,97,127,102,15,0,2467,4183
B1066,2012,2,1,484,91,121,116,13,0,2485,4286
B1066,2012,2,2,502,92,122,118,9,0,2813,4808
B1066,2012,2,3,575,91,121,122,19,0,3072,5316
B1067,2012,2,1,340,87,117,131,16,0,3096,5280
B1067,2012,2,2,367,83,113,126,16,0,2645,4572
B1067,2012,2,3,431,92,122,129,13,0,2306,3942
B1068,2012,2,1,495,86,116,123,13,0,2143,3622
B1068,2012,2,2,512,90,120,116,15,0,2911,4948
B1068,2012,2,3,578,93,123,115,15,0,2949,5075
B1069,2012,2,1,169,86,116,110,17,0,2455,4187
B1069,2012,2,2,248,93,123,109,11,0,2555,4437
B1069,2012,2,3,276,92,122,111,12,0,2173,3769
B1070,2012,2,1,466,90,120,109,14,0,3480,6130
B1070,2012,2,2,533,89,119,109,12,0,3172,5471
B1070,2012,2,3,564,94,124,114,15,0,3379,5756
B1071,2012,2,1,624,94,124,107,15,0,3460,5894
B1071,2012,2,2,671,96,126,98,18,0,3454,5830
B1071,2012,2,3,710,94,124,108,9,0,3336,5651
B1072,2012,2,1,500,89,119,95,13,0,3409,5728
B1072,2012,2,2,521,91,121,94,16,0,3341,5665
B1072,2012,2,3,592,92,122,102,14,0,2970,5002
B1073,2012,2,1,753,94,124,119,14,0,2747,4578
B1073,2012,2,2,815,90,120,117,15,0,2959,4932
B1073,2012,2,3,865,93,123,128,19,0,3210,5362
B1074,2012,2,1,481,94,124,118,14,0,2515,4289
B1074,2012,2,2,515,95,125,115,16,0,2392,4121
B1074,2012,2,3,598,94,124,117,13,0,3352,5632
B1076,2012,2,1,488,89,119,99,13,0,2725,4594
B1076,2012,2,2,504,92,122,103,17,0,2414,4154
B1076,2012,2,3,568,93,123,108,18,0,2891,4897
B1113,2012,2,1,491,89,119,116,15,0,2262,3862
B1113,2012,2,2,506,92,122,104,12,0,2646,4631
B1113,2012,2,3,563,94,124,110,19,0,2483,4230
B1114,2012,2,1,759,92,122,122,14,0,1614,2768
B1114,2012,2,2,822,93,123,122,13,0,2083,3500
B1114,2012,2,3,851,96,126,126,22,0,2563,4326
B1116,2012,2,1,927,93,123,108,10,0,,
B1116,2012,2,2,996,95,125,123,12,0,2607,4406
B1116,2012,2,3,1043,93,123,120,11,0,2764,4746
B1117,2012,2,1,315,87,117,114,15,0,2262,3845
B1117,2012,2,2,391,91,121,118,13,0,2081,3561
B1117,2012,2,3,445,89,119,120,10,0,1877,3288
B1118,2012,2,1,40,84,114,116,10,0,3137,5338
B1118,2012,2,2,53,86,116,110,20,0,3240,5463
B1118,2012,2,3,106,89,119,127,24,0,3775,6306
B1119,2012,2,1,1398,103,133,113,12,0,913,1585
B1119,2012,2,2,1450,95,125,113,11,0,961,1605
B1119,2012,2,3,1454,100,130,109,8,0,739,1285
B1120,2012,2,1,494,90,120,115,11,0,2606,4545
B1120,2012,2,2,501,89,119,115,15,0,2695,4544
B1120,2012,2,3,554,90,120,112,19,0,2783,4703
B1121,2012,2,1,626,93,123,121,18,0,1756,3008
B1121,2012,2,2,699,90,120,112,14,0,1927,3271
B1121,2012,2,3,702,91,121,125,11,0,1609,2691
B1222,2012,2,1,496,92,122,127,13,0,2660,4475
B1222,2012,2,2,550,94,124,133,14,0,3054,5279
B1222,2012,2,3,567,94,124,128,11,0,3011,5164
B1224,2012,2,1,1071,91,121,123,12,0,2582,4488
B1224,2012,2,2,1150,92,122,121,10,0,2824,4887
B1224,2012,2,3,1161,92,122,126,11,0,3117,5479
B1078,2012,2,1,474,92,122,118,9,0,3041,5145
B1078,2012,2,2,545,89,119,114,13,0,3187,5404
B1078,2012,2,3,581,97,127,122,12,0,2991,5124
B1124,2012,2,1,934,93,123,124,12,0,2009,3379
B1124,2012,2,2,981,96,126,120,15,0,2181,3753
B1124,2012,2,3,1048,93,123,119,9,0,2205,3846
B1125,2012,2,1,326,88,118,113,13,0,2382,3979
B1125,2012,2,2,372,88,118,115,13,0,2644,4458
B1125,2012,2,3,441,88,118,123,15,0,2127,3615
B1126,2012,2,1,1355,100,130,127,13,0,2533,4349
B1126,2012,2,2,1426,100,130,139,17,0,3102,5344
B1126,2012,2,3,1458,103,133,122,11,0,2933,5104
B1022,2012,2,1,191,86,116,122,12,0,2733,4587
B1022,2012,2,2,211,86,116,140,10,0,3094,5313
B1022,2012,2,3,271,86,116,136,14,5,2817,4842
B1024,2012,2,1,336,87,117,107,13,5,3773,6391
B1024,2012,2,2,370,89,119,126,18,0,3929,6579
B1024,2012,2,3,419,87,117,100,14,0,3935,6627
B1025,2012,2,1,179,86,116,111,15,0,3094,5211
B1025,2012,2,2,213,86,116,122,14,0,2112,3528
B1025,2012,2,3,281,86,116,120,12,0,1948,3375
B1026,2012,2,1,192,80,110,115,10,0,3907,6663
B1026,2012,2,2,218,83,113,123,13,0,3730,6325
B1026,2012,2,3,293,85,115,118,15,0,3316,5642
B1027,2012,2,1,199,84,114,115,12,3,3736,6314
B1027,2012,2,2,250,86,116,105,15,7,3228,5480
B1027,2012,2,3,256,85,115,115,14,0,3936,6575
B1029,2012,2,1,33,87,117,146,9,0,3243,5713
B1029,2012,2,2,88,89,119,129,11,0,3228,5393
B1029,2012,2,3,141,90,120,144,12,7,2899,4832
B1084,2012,2,1,619,93,123,122,16,0,3076,5156
B1084,2012,2,2,666,93,123,121,11,0,3098,5199
B1084,2012,2,3,744,95,125,123,13,0,3076,5288
B1112,2012,2,1,1078,96,126,126,15,0,2627,4526
B1112,2012,2,2,1137,97,127,130,10,0,3713,6332
B1112,2012,2,3,1191,95,125,121,15,0,3092,5369
M1478,2012,2,1,646,97,127,132,14,0,1939,3374
M1478,2012,2,2,668,97,127,122,14,0,2165,3617
M1478,2012,2,3,743,100,130,124,11,0,2418,4157
M1479,2012,2,1,19,93,123,112,15,0,2724,4646
M1479,2012,2,2,58,94,124,109,19,0,2812,4785
M1479,2012,2,3,103,96,126,112,19,0,2749,4683
M1480,2012,2,1,649,90,120,119,9,0,3420,5727
M1480,2012,2,2,684,87,117,115,9,0,2602,4392
M1480,2012,2,3,713,87,117,119,11,0,3058,5180
A1331,2012,2,1,634,94,124,117,12,0,3497,6011
A1331,2012,2,2,678,94,124,120,14,0,3095,5302
A1331,2012,2,3,714,94,124,127,14,0,3033,5126
A1332,2012,2,1,1067,97,127,111,14,0,2311,3941
A1332,2012,2,2,1121,97,127,110,13,0,2652,4554
A1332,2012,2,3,1169,97,127,117,11,0,2755,4634
A1333,2012,2,1,752,95,125,125,15,0,2374,4067
A1333,2012,2,2,827,96,126,120,15,0,3156,5376
A1333,2012,2,3,888,95,125,122,12,0,2814,4832
A1294,2012,2,1,37,84,114,125,12,9,2995,5119
A1294,2012,2,2,99,87,117,116,18,7,2922,4949
A1294,2012,2,3,143,84,114,120,14,9,2627,4404
A1295,2012,2,1,32,87,117,128,13,0,2439,4070
A1295,2012,2,2,54,90,120,125,20,0,2679,4465
A1295,2012,2,3,145,86,116,127,11,7,2366,3971
A1296,2012,2,1,172,91,121,116,12,0,2851,4835
A1296,2012,2,2,222,91,121,120,19,0,2780,4736
A1296,2012,2,3,284,93,123,117,14,0,2341,3979
A1337,2012,2,1,793,94,124,120,13,0,2742,4698
A1337,2012,2,2,812,92,122,125,15,3,2940,5014
A1337,2012,2,3,875,94,124,130,14,0,3061,5280
A1338,2012,2,1,456,94,124,118,12,0,3338,5680
A1338,2012,2,2,530,95,125,110,13,0,2992,5161
A1338,2012,2,3,579,93,123,115,20,0,2885,4954
A1339,2012,2,1,938,95,125,136,13,0,3477,5957
A1339,2012,2,2,994,96,126,130,11,0,2740,4689
A1339,2012,2,3,1042,94,124,131,10,0,2985,5108
A1297,2012,2,1,48,87,117,120,11,0,3213,5367
A1297,2012,2,2,51,87,117,118,18,0,3226,5408
A1297,2012,2,3,129,86,116,122,16,0,3670,6152
A1340,2012,2,1,638,98,128,126,8,0,2690,4629
A1340,2012,2,2,672,97,127,134,11,0,3121,5220
A1340,2012,2,3,745,98,128,149,9,0,2396,4026
A1341,2012,2,1,788,94,124,138,20,7,1602,2791
A1341,2012,2,2,824,92,122,123,13,9,2978,4986
A1341,2012,2,3,886,91,121,123,15,0,2944,5123
A1342,2012,2,1,483,93,123,136,12,0,2518,4285
A1342,2012,2,2,541,90,120,131,11,0,3092,5183
A1342,2012,2,3,571,90,120,124,16,0,3250,5499
A1343,2012,2,1,922,94,124,130,12,0,2984,5106
A1343,2012,2,2,969,93,123,123,16,0,3057,5237
A1343,2012,2,3,1049,93,123,119,16,0,2782,4804
A1335,2012,2,1,342,92,122,114,13,0,2780,4849
A1335,2012,2,2,388,94,124,129,12,0,2380,4022
A1335,2012,2,3,446,90,120,129,14,0,3203,5537
A1336,2012,2,1,492,94,124,127,14,0,2506,4293
A1336,2012,2,2,519,96,126,118,17,0,2799,4736
A1336,2012,2,3,559,100,130,114,11,0,2847,4850
M1384,2012,2,1,629,94,124,131,10,0,1833,3101
M1384,2012,2,2,664,94,124,130,10,0,2086,3566
M1384,2012,2,3,718,94,124,131,11,9,1749,2949
M1385,2012,2,1,1096,93,123,111,14,0,2480,4201
M1385,2012,2,2,1119,92,122,116,19,0,2242,3937
M1385,2012,2,3,1153,93,123,120,15,7,2981,5015
M1386,2012,2,1,1079,92,122,122,9,0,1908,3239
M1386,2012,2,2,1101,92,122,118,12,0,1522,2622
M1386,2012,2,3,1163,91,121,115,10,0,1896,3186
M1387,2012,2,1,1216,93,123,120,11,0,1920,3278
M1387,2012,2,2,1297,93,123,113,11,0,2139,3627
M1387,2012,2,3,1341,91,121,107,12,0,1984,3449
M1388,2012,2,1,1368,90,120,103,9,0,1556,2672
M1388,2012,2,2,1403,91,121,105,9,0,1739,2952
M1388,2012,2,3,1484,93,123,111,10,0,1978,3335
M1401,2012,2,1,1354,95,125,123,9,0,2467,4217
M1401,2012,2,2,1433,94,124,125,8,0,2333,3938
M1401,2012,2,3,1464,94,124,126,7,0,2468,4195
M1402,2012,2,1,1376,96,126,126,9,0,2379,4066
M1402,2012,2,2,1407,95,125,127,9,0,2412,4020
M1402,2012,2,3,1498,96,126,125,8,0,2756,4684
M1390,2012,2,1,1206,89,119,105,10,0,2465,4137
M1390,2012,2,2,1283,88,118,126,11,0,2533,4320
M1390,2012,2,3,1315,88,118,113,9,0,2160,3625
M1403,2012,2,1,1202,93,123,115,11,0,2209,3776
M1403,2012,2,2,1288,93,123,127,10,0,1968,3333
M1403,2012,2,3,1308,93,123,118,9,0,1767,2993
M1404,2012,2,1,645,94,124,145,13,9,3215,5383
M1404,2012,2,2,700,95,125,143,11,9,3174,5296
M1404,2012,2,3,717,94,124,139,13,9,2770,4649
M1405,2012,2,1,493,86,116,97,24,0,3277,5570
M1405,2012,2,2,534,86,116,101,16,0,2915,4954
M1405,2012,2,3,585,85,115,105,19,0,3192,5369
M1406,2012,2,1,489,84,114,96,22,0,2983,5110
M1406,2012,2,2,518,86,116,95,13,0,3225,5425
M1406,2012,2,3,555,85,115,98,10,0,3134,5235
M1407,2012,2,1,610,86,116,98,20,0,3275,5515
M1407,2012,2,2,689,86,116,100,14,0,3100,5275
M1407,2012,2,3,735,90,120,102,16,0,3179,5323
M1408,2012,2,1,477,85,115,99,12,0,3365,5680
M1408,2012,2,2,529,85,115,90,10,0,3258,5563
M1408,2012,2,3,595,85,115,95,16,0,3095,5278
M1409,2012,2,1,1069,89,119,130,11,9,2034,3496
M1409,2012,2,2,1133,95,125,124,14,0,3454,5864
M1409,2012,2,3,1173,91,121,128,16,7,2265,3867
M1411,2012,2,1,933,95,125,138,13,0,2631,4426
M1411,2012,2,2,964,96,126,132,11,0,2274,3927
M1411,2012,2,3,1028,99,129,129,11,0,2514,4307
M1412,2012,2,1,924,95,125,127,19,3,3016,5097
M1412,2012,2,2,976,95,125,134,12,0,3108,5300
M1412,2012,2,3,1038,94,124,128,11,0,2506,4288
M1413,2012,2,1,932,92,122,130,13,0,1807,3043
M1413,2012,2,2,965,92,122,129,12,9,1793,3020
M1413,2012,2,3,1021,90,120,133,13,5,1874,3192
M1414,2012,2,1,1214,91,121,126,15,0,2384,4043
M1414,2012,2,2,1254,93,123,106,9,0,2290,3950
M1414,2012,2,3,1329,94,124,125,13,0,,
M1415,2012,2,1,1353,90,120,128,9,0,970,1669
M1415,2012,2,2,1434,91,121,120,12,0,1304,2181
M1415,2012,2,3,1491,92,122,136,9,0,1417,2400
M1417,2012,2,1,453,97,127,122,8,0,2466,4182
M1417,2012,2,2,542,95,125,126,11,0,2052,3492
M1417,2012,2,3,561,100,130,126,9,0,2220,3833
M1418,2012,2,1,1054,91,121,109,10,0,2799,4925
M1418,2012,2,2,1129,93,123,114,14,0,2592,4355
M1418,2012,2,3,1174,91,121,112,12,0,2225,3833
M1419,2012,2,1,316,87,117,115,17,0,2454,4119
M1419,2012,2,2,398,90,120,115,14,0,2675,4598
M1419,2012,2,3,440,89,119,116,14,0,2028,3545
M1420,2012,2,1,176,93,123,111,13,0,2189,3750
M1420,2012,2,2,238,94,124,122,14,0,2209,3772
M1420,2012,2,3,300,94,124,125,17,0,2496,4233
M1423,2012,2,1,1391,97,127,122,10,0,2213,3774
M1423,2012,2,2,1424,97,127,124,10,0,2487,4338
M1423,2012,2,3,1479,98,128,122,9,0,1794,3053
M1425,2012,2,1,1227,84,114,127,10,0,2033,3424
M1425,2012,2,2,1287,88,118,123,11,0,1761,3010
M1425,2012,2,3,1306,86,116,125,10,0,2053,3426
M1427,2012,2,1,486,93,123,131,12,0,2061,3543
M1427,2012,2,2,527,93,123,132,10,0,1852,3148
M1427,2012,2,3,600,93,123,133,11,0,1846,3155
M1429,2012,2,1,1357,100,130,123,13,0,3030,5261
M1429,2012,2,2,1437,98,128,123,10,0,2936,5013
M1429,2012,2,3,1478,100,130,131,10,0,2740,4662
M1430,2012,2,1,945,96,126,114,13,0,2262,3897
M1430,2012,2,2,977,98,128,124,16,0,3035,5223
M1430,2012,2,3,1041,96,126,115,14,0,2585,4479
M1431,2012,2,1,650,93,123,125,10,0,2579,4353
M1431,2012,2,2,653,94,124,119,13,0,2583,4365
M1431,2012,2,3,728,94,124,119,10,0,2413,4232
M1432,2012,2,1,918,92,122,106,13,0,2885,4943
M1432,2012,2,2,986,96,126,110,17,0,3499,6069
M1432,2012,2,3,1046,93,123,113,16,0,2795,4805
M1433,2012,2,1,1059,95,125,113,15,0,2716,4579
M1433,2012,2,2,1117,95,125,120,13,0,2899,4983
M1433,2012,2,3,1162,97,127,113,18,0,2435,4124
M1380,2012,2,1,314,93,123,134,11,0,3166,5326
M1380,2012,2,2,371,94,124,114,15,3,3180,5522
M1380,2012,2,3,435,95,125,133,12,0,2336,4052
M1436,2012,2,1,615,105,135,121,13,0,2235,3855
M1436,2012,2,2,667,100,130,126,10,0,2902,5045
M1436,2012,2,3,709,105,135,126,13,0,2583,4455
M1438,2012,2,1,190,87,117,120,15,0,2987,5094
M1438,2012,2,2,230,85,115,115,15,0,2828,4746
M1438,2012,2,3,296,,,113,14,0,3019,5090
B1162,2012,2,1,1234,95,125,120,11,0,2983,5082
B1162,2012,2,2,1294,95,125,131,11,0,2886,4983
B1162,2012,2,3,1339,97,127,127,10,0,2747,4664
B1030,2012,2,1,38,87,117,145,12,9,3021,5111
B1030,2012,2,2,67,86,116,149,13,9,2692,4581
B1030,2012,2,3,127,88,118,150,9,5,2872,4892
B1171,2012,2,1,776,103,133,138,22,0,3447,5952
B1171,2012,2,2,846,101,131,138,14,0,3253,5523
B1171,2012,2,3,899,101,131,145,11,0,3092,5213
B1237,2012,2,1,792,94,124,130,17,0,2174,3716
B1237,2012,2,2,814,92,122,130,14,0,2912,5000
B1237,2012,2,3,871,94,124,138,17,0,3045,5110
B1091,2012,2,1,612,90,120,125,16,0,2505,4296
B1091,2012,2,2,680,90,120,123,10,0,2475,4192
B1091,2012,2,3,734,92,122,120,13,0,2383,4041
M1378,2012,2,1,1249,90,120,125,14,0,2200,3786
M1378,2012,2,2,1275,93,123,120,12,0,2608,4544
M1378,2012,2,3,1345,95,125,110,12,0,2124,3684
B1167,2012,2,1,452,100,130,137,16,0,3048,5222
B1167,2012,2,2,516,100,130,135,13,0,2575,4322
B1167,2012,2,3,557,102,132,134,11,0,2812,4834
B1168,2012,2,1,1063,91,121,118,16,0,2530,4334
B1168,2012,2,2,1147,89,119,113,12,0,2684,4655
B1168,2012,2,3,1193,93,123,110,11,0,2633,4501
B1169,2012,2,1,329,101,131,131,15,0,2544,4329
B1169,2012,2,2,359,102,132,140,13,0,2473,4208
B1169,2012,2,3,405,101,131,143,14,0,1764,2998
B1170,2012,2,1,1088,94,124,131,14,0,3001,5159
B1170,2012,2,2,1141,94,124,128,12,0,2767,4815
B1170,2012,2,3,1165,94,124,131,11,5,2777,4822
B1088,2012,2,1,337,88,118,122,9,9,3231,5416
B1088,2012,2,2,385,91,121,123,11,9,2878,4802
B1088,2012,2,3,424,87,117,115,11,9,2544,4255
B1236,2012,2,1,1070,99,129,118,12,0,2391,4152
B1236,2012,2,2,1125,100,130,115,10,0,2378,4046
B1236,2012,2,3,1192,99,129,120,12,0,2394,4083
B1093,2012,2,1,457,90,120,124,13,0,2999,5074
B1093,2012,2,2,507,91,121,119,10,0,3037,5091
B1093,2012,2,3,569,93,123,120,12,0,3151,5319
B1172,2012,2,1,1086,94,124,128,13,0,2743,4683
B1172,2012,2,2,1126,95,125,128,11,0,3845,6610
B1172,2012,2,3,1194,95,125,115,12,0,3150,5409
B1094,2012,2,1,908,93,123,129,14,0,3086,5233
B1094,2012,2,2,954,90,120,117,11,0,3147,5391
B1094,2012,2,3,1011,93,123,125,10,0,2960,5019
B1040,2012,2,1,606,92,122,130,15,0,2793,4769
B1040,2012,2,2,683,90,120,131,9,0,2730,4603
B1040,2012,2,3,747,94,124,122,18,9,2136,3601
B1238,2012,2,1,1064,97,127,122,12,3,2539,4379
B1238,2012,2,2,1107,96,126,125,9,0,2989,5167
B1238,2012,2,3,1183,99,129,142,11,7,2669,4505
B1173,2012,2,1,1093,94,124,149,11,0,2444,4144
B1173,2012,2,2,1148,94,124,138,13,0,3323,5712
B1173,2012,2,3,1179,95,125,135,11,7,2726,4686
B1174,2012,2,1,1215,94,124,128,10,0,2762,4850
B1174,2012,2,2,1300,94,124,120,14,0,3553,5977
B1174,2012,2,3,1347,93,123,122,14,0,2589,4315
B1175,2012,2,1,461,87,117,104,17,0,3210,5418
B1175,2012,2,2,526,89,119,118,14,0,3488,5847
B1175,2012,2,3,551,92,122,130,14,0,2833,4782
B1239,2012,2,1,1098,97,127,153,9,7,2593,4482
B1239,2012,2,2,1111,95,125,155,12,0,2844,4994
B1239,2012,2,3,1166,95,125,152,11,9,2407,4133
B1240,2012,2,1,765,96,126,117,16,0,2573,4288
B1240,2012,2,2,850,99,129,117,14,0,3552,6078
B1240,2012,2,3,856,96,126,111,16,0,3586,6123
B1241,2012,2,1,607,105,135,130,13,0,1947,3351
B1241,2012,2,2,675,104,134,124,12,0,2254,3936
B1241,2012,2,3,729,104,134,124,11,0,1807,3089
B1242,2012,2,1,625,105,135,134,9,0,2660,4583
B1242,2012,2,2,676,104,134,123,11,0,2436,4074
B1242,2012,2,3,706,105,135,124,9,0,2566,4471
B1243,2012,2,1,1352,95,125,121,11,0,2181,3715
B1243,2012,2,2,1428,99,129,119,11,0,3208,5384
B1243,2012,2,3,1490,97,127,116,12,0,2564,4353
B1128,2012,2,1,797,99,129,130,12,0,2591,4399
B1128,2012,2,2,804,96,126,130,12,9,2171,3618
B1128,2012,2,3,873,99,129,136,14,0,2606,4409
B1251,2012,2,1,39,85,115,116,22,0,2637,4625
B1251,2012,2,2,84,93,123,122,14,0,2690,4515
B1251,2012,2,3,111,86,116,132,15,0,2868,4925
B1129,2012,2,1,647,96,126,110,16,0,2529,4396
B1129,2012,2,2,695,94,124,109,12,0,2994,5036
B1129,2012,2,3,741,97,127,113,13,0,2915,4954
B1176,2012,2,1,1221,90,120,116,10,0,3091,5301
B1176,2012,2,2,1265,91,121,119,12,0,2880,4900
B1176,2012,2,3,1304,92,122,116,10,0,2756,4716
B1177,2012,2,1,1370,96,126,118,11,0,2472,4292
B1177,2012,2,2,1427,95,125,106,10,0,3004,5269
B1177,2012,2,3,1463,97,127,107,12,0,2406,4099
B1130,2012,2,1,1052,94,124,115,11,0,2537,4248
B1130,2012,2,2,1139,90,120,101,15,0,2858,4763
B1130,2012,2,3,1196,91,121,115,14,0,2643,4497
B1244,2012,2,1,1087,96,126,127,14,0,2856,4826
B1244,2012,2,2,1131,94,124,121,14,0,2829,4956
B1244,2012,2,3,1171,94,124,127,18,5,2983,5082
B1179,2012,2,1,1372,98,128,126,18,0,2113,3653
B1179,2012,2,2,1417,99,129,119,10,0,2367,3954
B1179,2012,2,3,1480,100,130,127,10,0,3131,5273
B1180,2012,2,1,1399,95,125,114,13,0,2780,4757
B1180,2012,2,2,1445,94,124,98,7,0,3051,5186
B1180,2012,2,3,1466,94,124,118,14,0,3305,5521
B1181,2012,2,1,1238,92,122,105,11,0,2412,4156
B1181,2012,2,2,1281,94,124,108,10,0,2470,4255
B1181,2012,2,3,1313,93,123,101,9,0,2242,3737
B1183,2012,2,1,1240,89,119,125,11,0,2592,4456
B1183,2012,2,2,1280,93,123,135,7,0,2512,4342
B1183,2012,2,3,1327,93,123,134,12,7,2479,4261
B1245,2012,2,1,1085,99,129,122,10,0,2523,4273
B1245,2012,2,2,1104,95,125,129,10,0,3059,5164
B1245,2012,2,3,1168,97,127,120,8,5,1976,3420
B1246,2012,2,1,1400,102,132,126,10,0,2404,4091
B1246,2012,2,2,1405,101,131,114,9,0,2917,4918
B1246,2012,2,3,1460,101,131,125,10,0,2723,4702
